Device Type,GENEActiv
Device Model,1.2
Device Unique Serial Code,DEMO_GA_001
Subject Code,DEMO-001
Start Time,2000-01-01 00:00:00
Measurement Frequency,60 Hz

timestamp,x,y,z,light,button,temperature
2000-01-01 00:00:00,6,25,2,0,0,25.0
2000-01-01 00:01:00,23,64,0,0,0,25.0
2000-01-01 00:02:00,7,23,12,0,0,25.0
2000-01-01 00:03:00,17,40,19,0,0,25.0
2000-01-01 00:04:00,15,30,7,0,0,25.0
2000-01-01 00:05:00,7,44,9,0,0,25.0
2000-01-01 00:06:00,11,31,4,0,0,25.0
2000-01-01 00:07:00,4,23,6,0,0,25.0
2000-01-01 00:08:00,10,38,9,0,0,25.0
2000-01-01 00:09:00,6,27,16,0,0,25.0
2000-01-01 00:10:00,13,47,9,0,0,25.0
2000-01-01 00:11:00,4,23,6,0,0,25.0
2000-01-01 00:12:00,7,37,24,0,0,25.0
2000-01-01 00:13:00,18,65,6,0,0,25.0
2000-01-01 00:14:00,3,15,5,0,0,25.0
2000-01-01 00:15:00,13,35,0,0,0,25.0
2000-01-01 00:16:00,17,35,5,0,0,25.0
2000-01-01 00:17:00,8,45,14,0,0,25.0
2000-01-01 00:18:00,16,83,27,0,0,25.0
2000-01-01 00:19:00,8,23,0,0,0,25.0
2000-01-01 00:20:00,21,57,13,0,0,25.0
2000-01-01 00:21:00,2,11,6,0,0,25.0
2000-01-01 00:22:00,6,28,20,0,0,25.0
2000-01-01 00:23:00,6,17,7,0,0,25.0
2000-01-01 00:24:00,8,37,10,0,0,25.0
2000-01-01 00:25:00,8,34,6,0,0,25.0
2000-01-01 00:26:00,7,22,2,0,0,25.0
2000-01-01 00:27:00,8,42,14,0,0,25.0
2000-01-01 00:28:00,8,17,7,0,0,25.0
2000-01-01 00:29:00,73,230,100,0,0,25.0
2000-01-01 00:30:00,5,25,16,0,0,25.0
2000-01-01 00:31:00,4,10,3,0,0,25.0
2000-01-01 00:32:00,15,71,24,0,0,25.0
2000-01-01 00:33:00,12,31,17,0,0,25.0
2000-01-01 00:34:00,26,63,7,0,0,25.0
2000-01-01 00:35:00,17,52,9,0,0,25.0
2000-01-01 00:36:00,15,38,12,0,0,25.0
2000-01-01 00:37:00,8,29,5,0,0,25.0
2000-01-01 00:38:00,7,34,12,0,0,25.0
2000-01-01 00:39:00,8,26,10,0,0,25.0
2000-01-01 00:40:00,11,39,3,0,0,25.0
2000-01-01 00:41:00,18,35,13,0,0,25.0
2000-01-01 00:42:00,10,35,17,0,0,25.0
2000-01-01 00:43:00,36,74,18,0,0,25.0
2000-01-01 00:44:00,8,24,11,0,0,25.0
2000-01-01 00:45:00,17,55,0,0,0,25.0
2000-01-01 00:46:00,7,21,13,0,0,25.0
2000-01-01 00:47:00,5,21,4,0,0,25.0
2000-01-01 00:48:00,20,52,0,0,0,25.0
2000-01-01 00:49:00,7,22,10,0,0,25.0
2000-01-01 00:50:00,11,51,9,0,0,25.0
2000-01-01 00:51:00,4,11,6,0,0,25.0
2000-01-01 00:52:00,6,15,5,0,0,25.0
2000-01-01 00:53:00,8,33,4,0,0,25.0
2000-01-01 00:54:00,5,31,15,0,0,25.0
